Title,Company,Location
"Senior Analyst - BCG Vantage, Implementation (Capital Project Excellence)",Boston Consulting Group (BCG) -,"Riyadh,Saudi Arabia"
Guest Experience Agent,IHG Hotels & Resorts -,"Riyadh,Saudi Arabia"
Engineering Manager II,Wood -,"Riyadh,Saudi Arabia"
BIM Modeler,Havelock One Interiors -,"Riyadh,Saudi Arabia"
Duty Manager,IHG Hotels & Resorts -,"Riyadh,Saudi Arabia"
Site Operation Lead,Ecolab -,"Makkah,Saudi Arabia"
"E- mail and Chat (B2 English Speakers) e&UAE ,grads",Etisalat Egypt -,"Maadi,Cairo,Egypt"
Accommodation Assistant Manager (Saudi National Talent) - Human Capital - Jumeirah The Red Sea,Jumeirah -,"Riyadh,Saudi Arabia"
Customer Support Agent (B2B // B2 English) e&UAE,Etisalat Egypt -,"Maadi,Cairo,Egypt"
Medical Devices Sales Specialist- Cairo,STARK -,"Maadi,Cairo,Egypt"
Medical Devices Sales Specialist,STARK -,"Maadi,Cairo,Egypt"
"Call Center Agent (B1+ English Speakers)e&UAE ,grads",Etisalat Egypt -,"Maadi,Cairo,Egypt"
Senior Accountant,Rozabella Textile   -,"10th of Ramadan City,Sharqia,Egypt"
Mechanical Design Engineer,Badawy - BEECO -,"Cairo,Egypt"
Customer Representative (B1+),Etisalat Egypt -,"Maadi,Cairo,Egypt"
"Senior Analyst - BCG Vantage, Implementation (Capital Project Excellence)",Boston Consulting Group (BCG) -,"Riyadh,Saudi Arabia"
Guest Experience Agent,IHG Hotels & Resorts -,"Riyadh,Saudi Arabia"
Engineering Manager II,Wood -,"Riyadh,Saudi Arabia"
BIM Modeler,Havelock One Interiors -,"Riyadh,Saudi Arabia"
Duty Manager,IHG Hotels & Resorts -,"Riyadh,Saudi Arabia"
Site Operation Lead,Ecolab -,"Makkah,Saudi Arabia"
"E- mail and Chat (B2 English Speakers) e&UAE ,grads",Etisalat Egypt -,"Maadi,Cairo,Egypt"
Accommodation Assistant Manager (Saudi National Talent) - Human Capital - Jumeirah The Red Sea,Jumeirah -,"Riyadh,Saudi Arabia"
Customer Support Agent (B2B // B2 English) e&UAE,Etisalat Egypt -,"Maadi,Cairo,Egypt"
Medical Devices Sales Specialist- Cairo,STARK -,"Maadi,Cairo,Egypt"
Medical Devices Sales Specialist,STARK -,"Maadi,Cairo,Egypt"
"Call Center Agent (B1+ English Speakers)e&UAE ,grads",Etisalat Egypt -,"Maadi,Cairo,Egypt"
Senior Accountant,Rozabella Textile   -,"10th of Ramadan City,Sharqia,Egypt"
Mechanical Design Engineer,Badawy - BEECO -,"Cairo,Egypt"
Customer Representative (B1+),Etisalat Egypt -,"Maadi,Cairo,Egypt"
"Senior Analyst - BCG Vantage, Implementation (Capital Project Excellence)",Boston Consulting Group (BCG) -,"Riyadh,Saudi Arabia"
Guest Experience Agent,IHG Hotels & Resorts -,"Riyadh,Saudi Arabia"
Engineering Manager II,Wood -,"Riyadh,Saudi Arabia"
BIM Modeler,Havelock One Interiors -,"Riyadh,Saudi Arabia"
Duty Manager,IHG Hotels & Resorts -,"Riyadh,Saudi Arabia"
Site Operation Lead,Ecolab -,"Makkah,Saudi Arabia"
"E- mail and Chat (B2 English Speakers) e&UAE ,grads",Etisalat Egypt -,"Maadi,Cairo,Egypt"
Accommodation Assistant Manager (Saudi National Talent) - Human Capital - Jumeirah The Red Sea,Jumeirah -,"Riyadh,Saudi Arabia"
Customer Support Agent (B2B // B2 English) e&UAE,Etisalat Egypt -,"Maadi,Cairo,Egypt"
Medical Devices Sales Specialist- Cairo,STARK -,"Maadi,Cairo,Egypt"
Medical Devices Sales Specialist,STARK -,"Maadi,Cairo,Egypt"
"Call Center Agent (B1+ English Speakers)e&UAE ,grads",Etisalat Egypt -,"Maadi,Cairo,Egypt"
Senior Accountant,Rozabella Textile   -,"10th of Ramadan City,Sharqia,Egypt"
Mechanical Design Engineer,Badawy - BEECO -,"Cairo,Egypt"
Customer Representative (B1+),Etisalat Egypt -,"Maadi,Cairo,Egypt"
"Senior Analyst - BCG Vantage, Implementation (Capital Project Excellence)",Boston Consulting Group (BCG) -,"Riyadh,Saudi Arabia"
Guest Experience Agent,IHG Hotels & Resorts -,"Riyadh,Saudi Arabia"
Engineering Manager II,Wood -,"Riyadh,Saudi Arabia"
BIM Modeler,Havelock One Interiors -,"Riyadh,Saudi Arabia"
Duty Manager,IHG Hotels & Resorts -,"Riyadh,Saudi Arabia"
Site Operation Lead,Ecolab -,"Makkah,Saudi Arabia"
"E- mail and Chat (B2 English Speakers) e&UAE ,grads",Etisalat Egypt -,"Maadi,Cairo,Egypt"
Accommodation Assistant Manager (Saudi National Talent) - Human Capital - Jumeirah The Red Sea,Jumeirah -,"Riyadh,Saudi Arabia"
Customer Support Agent (B2B // B2 English) e&UAE,Etisalat Egypt -,"Maadi,Cairo,Egypt"
Medical Devices Sales Specialist- Cairo,STARK -,"Maadi,Cairo,Egypt"
Medical Devices Sales Specialist,STARK -,"Maadi,Cairo,Egypt"
"Call Center Agent (B1+ English Speakers)e&UAE ,grads",Etisalat Egypt -,"Maadi,Cairo,Egypt"
Senior Accountant,Rozabella Textile   -,"10th of Ramadan City,Sharqia,Egypt"
Mechanical Design Engineer,Badawy - BEECO -,"Cairo,Egypt"
Customer Representative (B1+),Etisalat Egypt -,"Maadi,Cairo,Egypt"
"Senior Analyst - BCG Vantage, Implementation (Capital Project Excellence)",Boston Consulting Group (BCG) -,"Riyadh,Saudi Arabia"
Guest Experience Agent,IHG Hotels & Resorts -,"Riyadh,Saudi Arabia"
Engineering Manager II,Wood -,"Riyadh,Saudi Arabia"
BIM Modeler,Havelock One Interiors -,"Riyadh,Saudi Arabia"
Duty Manager,IHG Hotels & Resorts -,"Riyadh,Saudi Arabia"
Site Operation Lead,Ecolab -,"Makkah,Saudi Arabia"
"E- mail and Chat (B2 English Speakers) e&UAE ,grads",Etisalat Egypt -,"Maadi,Cairo,Egypt"
Accommodation Assistant Manager (Saudi National Talent) - Human Capital - Jumeirah The Red Sea,Jumeirah -,"Riyadh,Saudi Arabia"
Customer Support Agent (B2B // B2 English) e&UAE,Etisalat Egypt -,"Maadi,Cairo,Egypt"
Medical Devices Sales Specialist- Cairo,STARK -,"Maadi,Cairo,Egypt"
Medical Devices Sales Specialist,STARK -,"Maadi,Cairo,Egypt"
"Call Center Agent (B1+ English Speakers)e&UAE ,grads",Etisalat Egypt -,"Maadi,Cairo,Egypt"
Senior Accountant,Rozabella Textile   -,"10th of Ramadan City,Sharqia,Egypt"
Mechanical Design Engineer,Badawy - BEECO -,"Cairo,Egypt"
Customer Representative (B1+),Etisalat Egypt -,"Maadi,Cairo,Egypt"
