البطولة,الفريق الأول,الفريق الثاني,الوقت,النتيجة
دوري أبطال أفريقيا,الأهلي,الجيش الملكي,18:00,- - -
دوري أبطال أفريقيا,يانج افريكانز,شبيبة القبائل,18:00,- - -
الكونفيدرالية الأفريقية,شباب بلوزداد,أوتوهو أويو,18:00,- - -
الكونفيدرالية الأفريقية,دجوليبا,سان بيدرو,18:00,- - -
الكونفيدرالية الأفريقية,ستيلينبوش,سينجيدا بلاك ستارز,18:00,- - -
الدوري الإسباني,ليفانتي,فالنسيا,19:30,- - -
الدوري الإسباني,مايوركا,ريال بيتيس,22:00,- - -
كأس الاتحاد الإنجليزي,أرسنال,ويجان أتلتيك,18:30,- - -
الدوري الإيطالي,تورينو,بولونيا,19:00,- - -
الدوري الإيطالي,نابولي,روما,21:45,- - -
الدوري الفرنسي,ميتز,اوكسير,18:15,- - -
الدوري الفرنسي,لوريان,أنجيه,18:15,- - -
الدوري الفرنسي,ليون,نيس,21:45,- - -
الدوري الألماني,لايبزيج,فولفسبورج,18:30,- - -
الدوري التركي,إسطنبول باشاكشهير,بشكتاش,19:00,- - -
الدوري البرتغالي,ناسيونال ماديرا,بورتو,17:30,- - -
الدوري البرتغالي,اي في اس فوتبول,إستوريل برايا,20:00,- - -
الدوري البرتغالي,سبورتينج لشبونة,فاماليكاو,22:30,- - -
الدوري المغربي,الفتح الرباطي,الكوكب المراكشي,19:00,- - -
